asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
orb_popup_dialog_choice_grid,orb_popup_dialog_choice_grid,orbengine_ui_shell/orb_popup_dialog_choice_grid.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:12.859173+00:00,2026-03-12T19:20:12.859173+00:00,8f6f1d02b0db9deccaac23df51785f65cbe7ab8c28896906cc8538ddec186a78,1024,1024,738888
orb_font_monotype_uppercase_atlas,orb_font_monotype_uppercase_atlas,orbengine_ui_shell/orb_font_monotype_uppercase_atlas.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:26.904822+00:00,2026-03-12T19:20:26.904822+00:00,3e58b829611d986d00df0f9a4e61ec6d50e20648df66f98931af94fc4d1377ec,1024,1024,1045020
orb_font_monotype_lowercase_atlas,orb_font_monotype_lowercase_atlas,orbengine_ui_shell/orb_font_monotype_lowercase_atlas.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:27.319997+00:00,2026-03-12T19:20:27.319997+00:00,1b3ce74cf64f2fdcdf7bd7ee33eb509174f2935ab31844c9c5c582ff82f6f397,1024,1024,2175020
orb_font_monotype_numeric_atlas,orb_font_monotype_numeric_atlas,orbengine_ui_shell/orb_font_monotype_numeric_atlas.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:29.618448+00:00,2026-03-12T19:20:29.618448+00:00,aca5ba67ca4b50603837dadca9d72e5afa911553b20851653010ddca0ec87899,1024,1024,1131185
orb_font_monotype_extended_ui_atlas,orb_font_monotype_extended_ui_atlas,orbengine_ui_shell/orb_font_monotype_extended_ui_atlas.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:32.885495+00:00,2026-03-12T19:20:32.885495+00:00,459c7ae2b249688d22f7b8d40e4fa5f7874c835f1e625665d5576b2385f21de1,1024,1024,2093095
orb_cursor_precision_set,orb_cursor_precision_set,orbengine_ui_shell/orb_cursor_precision_set.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:44.141350+00:00,2026-03-12T19:20:44.141350+00:00,b15badcccf90f2896b000838e764553d6b82ce9e838aa2dfb1106ec49cb786a7,1024,1024,774260
orb_cursor_transform_set,orb_cursor_transform_set,orbengine_ui_shell/orb_cursor_transform_set.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:44.326354+00:00,2026-03-12T19:20:44.326354+00:00,f2fa23919045809d628ee79bf0e0615545602e6311a955e03673b60f27b17262,1024,1024,912248
orb_cursor_resize_set,orb_cursor_resize_set,orbengine_ui_shell/orb_cursor_resize_set.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:47.656306+00:00,2026-03-12T19:20:47.656306+00:00,ba2c0f4d73cedb593dc33153b9dd7741ad8ba79f77f1f4eb999a2ec59aa109e2,1024,1024,1867818
orb_cursor_link_and_pick_set,orb_cursor_link_and_pick_set,orbengine_ui_shell/orb_cursor_link_and_pick_set.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:48.617890+00:00,2026-03-12T19:20:48.617890+00:00,ef647f1e9c38ea3e401d024c603d695a0c89206c5b830e8f0a6be6902c604240,1024,1024,740166
orb_icons_toolbar_editing,orb_icons_toolbar_editing,orbengine_ui_shell/orb_icons_toolbar_editing.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:00.313830+00:00,2026-03-12T19:21:00.313830+00:00,6346cda740672e2366b0965c0c7efc0ea25f92fdfa301d5e14b35897ae32ce0f,1024,1024,809432
orb_icons_toolbar_scripting,orb_icons_toolbar_scripting,orbengine_ui_shell/orb_icons_toolbar_scripting.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:03.416142+00:00,2026-03-12T19:21:03.416142+00:00,d999a153e2a89101fe265f3443d0dc84e8ec4c8dab25a0af15f540bf775cbef0,1024,1024,991234
orb_icons_toolbar_animation,orb_icons_toolbar_animation,orbengine_ui_shell/orb_icons_toolbar_animation.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:03.805348+00:00,2026-03-12T19:21:03.805348+00:00,9ba5e2508ef14666857a4bfdd565c0a4e7d83dbe2a75bad926a766d20d5b1218,1024,1024,867164
orb_icons_toolbar_world,orb_icons_toolbar_world,orbengine_ui_shell/orb_icons_toolbar_world.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:04.554031+00:00,2026-03-12T19:21:04.554031+00:00,85e0899d62e996044df512f278f691770e0c54181374df3f38569470a895ff32,1024,1024,639152
orb_icons_toolbar_materials,orb_icons_toolbar_materials,orbengine_ui_shell/orb_icons_toolbar_materials.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:15.984333+00:00,2026-03-12T19:21:15.984333+00:00,9931510446499502578d57e05ab39857469646e0102e3105dbc5bc03c8eb76db,1024,1024,1200072
orb_icons_inventory_and_widgets,orb_icons_inventory_and_widgets,orbengine_ui_shell/orb_icons_inventory_and_widgets.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:19.569085+00:00,2026-03-12T19:21:19.569085+00:00,b52a67a673bb2e21a03377b180ef8bdbb16fe71ec7c9616b7cb49952604eb15f,1024,1024,557954
orb_icons_status_indicators,orb_icons_status_indicators,orbengine_ui_shell/orb_icons_status_indicators.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:20.311227+00:00,2026-03-12T19:21:20.311227+00:00,72e54175748d85743fe86889a26050ba1d6c337fadf4ec942b070ee23bf322bf,1024,1024,739908
orb_icons_scrollbar_and_splitters,orb_icons_scrollbar_and_splitters,orbengine_ui_shell/orb_icons_scrollbar_and_splitters.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:21.013739+00:00,2026-03-12T19:21:21.013739+00:00,0cdbc856f80853bf372f2202606c654e8dd1fbcee9374289e5bf56107bca41d4,1024,1024,542012
orb_icons_window_controls,orb_icons_window_controls,orbengine_ui_shell/orb_icons_window_controls.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:21:33.616193+00:00,2026-03-12T19:21:33.616193+00:00,b72dafa0f37a55e09b2b229888b37b0857b2df1c5e49d564e1d1a480da312777,1024,1024,711156
