asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
artbook_rear_cover,artbook_rear_cover,artbook/page13_rear_cover_base.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T20:35:12.860368+00:00,2026-03-12T20:35:12.860368+00:00,3b760ff246e5a49956d8b5b9f0a1d4be09b2116bfa5a21eac50795f799682e59,1344,768,1371162
artbook_legalities_page,artbook_legalities_page,artbook/page12_legalities_base.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T20:35:14.214973+00:00,2026-03-12T20:35:14.214973+00:00,e969b58bd016dd735d74905dc996b879e1e8bd67aa75eb78750b535fc5400a2a,1344,768,1350172
artbook_table_of_contents,artbook_table_of_contents,artbook/page02_toc_base.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T20:35:15.308063+00:00,2026-03-12T20:35:15.308063+00:00,678e9c0a89c05fd3ca2104700712c9483b73df0d1d1a076f50180f670a6fa7f4,1344,768,1354552
artbook_cover_v2,artbook_cover_v2,artbook/page01_cover_base.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T20:35:15.966905+00:00,2026-03-12T20:35:15.966905+00:00,6ac7e2ea4dc619919d05ca3c901421fbe93266392eeaeaadca51a8c5df27d1d6,1344,768,1391200
