asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
storm_cloud_mass_a_final_v1,storm_cloud_mass_a_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/skybox_tile/storm_cloud_mass_a_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:29:55.069200+00:00,2026-03-12T04:29:55.069200+00:00,7e497b012f76316d8c43194efcf7975aa264e2654196346c6e0e81398e611468,1024,1024,1230038
storm_cloud_mass_b_final_v1,storm_cloud_mass_b_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/skybox_tile/storm_cloud_mass_b_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:00.871931+00:00,2026-03-12T04:30:00.871931+00:00,529d211b7f0a0e32a8c5807d8ef02c93cad6b70c966b0468514dd719cd624c7d,1024,1024,1397330
storm_cloud_mass_a_precision_v1,storm_cloud_mass_a_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/skybox_tile/storm_cloud_mass_a_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:00.951771+00:00,2026-03-12T04:30:00.951771+00:00,032fd5fef3a2a7722318747255817412116fe2e12212c3fae04de5e1d47563e7,1024,1024,1118602
storm_cloud_mass_b_precision_v1,storm_cloud_mass_b_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/skybox_tile/storm_cloud_mass_b_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:04.013450+00:00,2026-03-12T04:30:04.013450+00:00,8bf0c6c2e470f4a699327ef5d7891a9c65d130b5c657470913eb82c69405d9c7,1024,1024,983300
eclipse_halo_core_final_v1,eclipse_halo_core_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/skybox_tile/eclipse_halo_core_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:11.925444+00:00,2026-03-12T04:30:11.925444+00:00,17576dd3f03de6ad5bdf274ea0dc4796b620f7b53a2b6e3e84b9f4bec4a01f2e,1024,1024,1408776
distant_cliff_band_final_v1,distant_cliff_band_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/skybox_tile/distant_cliff_band_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:16.389653+00:00,2026-03-12T04:30:16.389653+00:00,8e57d6b53217a54f83713aa835deac0b1f618913f296d790895176529fef9d87,1024,1024,1235538
eclipse_halo_core_precision_v1,eclipse_halo_core_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/skybox_tile/eclipse_halo_core_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:19.389317+00:00,2026-03-12T04:30:19.389317+00:00,5145d67d4c30b3eb9a70ce9e118cb8a4ed7211ec210929adf08ee65d94e975bc,1024,1024,1195496
distant_cliff_band_precision_v1,distant_cliff_band_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/skybox_tile/distant_cliff_band_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:19.768471+00:00,2026-03-12T04:30:19.768471+00:00,07ad9c91a985489493a764ee864f9e010e04d2c6eb46ba97ea0560e903cb914c,1024,1024,1377782
drowned_wharf_silhouette_final_v1,drowned_wharf_silhouette_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/skybox_tile/drowned_wharf_silhouette_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:27.254111+00:00,2026-03-12T04:30:27.254111+00:00,4804b9157a9ea7631752d0585ce769971b04134aeac0be9a4b57c335a73891fa,1024,1024,1288058
drowned_wharf_silhouette_precision_v1,drowned_wharf_silhouette_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/skybox_tile/drowned_wharf_silhouette_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:33.183934+00:00,2026-03-12T04:30:33.183934+00:00,259c822842f2988559e4e86d9a91172f3f139acaa13bd95edcecc2f3b51a60d4,1024,1024,1328716
occult_star_scar_final_v1,occult_star_scar_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/skybox_tile/occult_star_scar_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:34.870304+00:00,2026-03-12T04:30:34.870304+00:00,2259f12a9595bf04db65547a515724269dc4728153d0ef4d62d6a2bbdae4ded8,1024,1024,1481302
occult_star_scar_precision_v1,occult_star_scar_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/skybox_tile/occult_star_scar_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:30:36.514288+00:00,2026-03-12T04:30:36.514288+00:00,9244014cf3278911f0ae0e8bdc790b8b7794507dcc39232d3c08ddf9607f0d48,1024,1024,1314228
